HotelCode, City, Latitude, Longitude, Star Rating, TripAdvisor Rating
724,melrude,47.2455556,-92.4169444,3,3.5
463,fancy,36.3663889,-88.6544444,4,4
704,sturry,51.283333,1.116667,3,4.5
217,edmiston,36.7788889,-119.5394444,2,4
570,lackawaxen,41.4819444,-74.9863889,4,3.5
757,west jonesport,44.5288889,-67.6216667,4,4.5
428,ewart,41.6411111,-92.6102778,4,4
565,adelaide,47.65,-122.0875,4,4
487,woods lake,43.8522222,-74.9516667,3,3.5
199,pidek keren,6.8727778,158.3147222,2,3
204,green hill forest,38.9147222,-78.1466667,3,4.5
765,mars hill downs,34.0288889,-84.6805556,3,4
298,aiea,21.3822222,-157.9336111,2,3
45,hickory hall plantation,32.8341667,-80.0736111,4,4
173,wath,53.5,-1.35,4,3.5
517,jersalem hill,42.9775,-75.1463889,4,4
462,erie junction,41.2430556,-78.7738889,3,4
232,wynnedale,39.8311111,-86.1975,4,3.5
242,eldton,37.7261111,-122.4483333,2,3.5
325,llantood,52.033333,-4.7,2,3.5
661,acree,31.5552778,-83.9961111,3,4.5
14,klingers,41.7930556,-85.5261111,2,3.5
411,waltersville,32.3794444,-90.8677778,4,4
35,hooverhurst,40.8047222,-78.8552778,5,4.5
144,foundry,43.2516667,-70.8552778,4,4
212,locust manor mobile home park,40.1741667,-76.8283333,4,4.5
962,kullituklo,33.8519444,-94.7219444,4,4.5
678,camp branch,33.9083333,-79.8180556,4,4.5
523,muniz,26.2561111,-98.0891667,4,4
742,chimney lakes,34.0313889,-84.4244444,4,4.5
32,crimson,40.7416667,-82.3966667,4,4.5
95,riva farms,38.9513889,-76.5908333,4,4.5
919,notichtown,35.5766667,-95.0913889,4,4.5
667,allsboro,34.6941667,-88.1102778,3,4
520,judice,30.1811111,-92.1416667,5,4.5
829,lanier heights,34.9952778,-81.9080556,4,4.5
956,sable woods,39.5097222,-76.3261111,5,5
311,stone station,34.8461111,-81.9255556,3,3.5
519,keefe,36.3355556,-89.4419444,2,3
293,canawaugus,42.9269444,-77.7797222,4,4.5
145,skunk river,40.7266667,-91.2005556,4,4
461,windermere woods,33.5708333,-84.4394444,4,4.5
836,ojo sarco,36.1225,-105.7827778,4,4.5
664,irons,44.14,-85.9158333,4,4.5
193,bon air estates,40.6602778,-81.1305556,4,4
42,bass river,39.5925,-74.4430556,4,4
548,falcon lake,26.8713889,-99.2552778,2,3
914,woodridge,37.8969444,-78.4363889,3,3.5
583,west summerville,34.4725,-85.3694444,3,4
399,germoe,50.116667,-5.383333,4,4
684,ali molina,31.9,-111.7736111,4,4.5
168,orkney springs,38.7952778,-78.8147222,3,4
123,hornton,52.083333,-1.416667,3,3.5
646,mount eaton,40.6944444,-81.7033333,3,4
556,old eucha,36.3447222,-94.945,4,4.5
48,old ford acres,33.53,-84.4733333,3,4
241,ludwig,38.235,-90.4188889,2,2.5
332,dobrowolski,28.8925,-98.6425,3,3.5
107,applegarth town,55.133333,-3.4,4,3
21,barview,43.3544444,-124.3119444,4,4
999,chestnut mountain,34.1725,-83.8380556,2,3
