Search ID,Booking Date, HotelCode, Age, Gender, Number of Rooms, Check in date, Check Out Date, Seen Price, isClicked, isBooked, Segment
1, 2013-04-04 08:32:15,724,18,female,1,4/4/2013,4/5/2013,7100,TRUE,FALSE,backpacker
2, 2013-04-04 08:32:15,463,18,female,1,4/4/2013,4/5/2013,11200,TRUE,FALSE,backpacker
3, 2013-04-04 08:32:15,704,18,female,1,4/4/2013,4/5/2013,11900,TRUE,FALSE,backpacker
4, 2013-04-04 08:32:15,217,18,female,1,4/4/2013,4/5/2013,41200,FALSE,FALSE,backpacker
5, 2013-04-04 08:32:15,570,18,female,1,4/4/2013,4/5/2013,9500,TRUE,FALSE,backpacker
6, 2013-04-04 08:32:15,757,18,female,1,4/4/2013,4/5/2013,12700,FALSE,FALSE,backpacker
7, 2013-04-04 08:32:15,428,18,female,1,4/4/2013,4/5/2013,8900,FALSE,FALSE,backpacker
8, 2013-04-04 08:32:15,565,18,female,1,4/4/2013,4/5/2013,18500,TRUE,FALSE,backpacker
9, 2013-04-04 08:32:15,487,18,female,1,4/4/2013,4/5/2013,9300,TRUE,FALSE,backpacker
10, 2013-04-04 08:32:15,199,18,female,1,4/4/2013,4/5/2013,5300,FALSE,FALSE,backpacker
11, 2013-04-04 08:32:15,204,18,female,1,4/4/2013,4/5/2013,14700,TRUE,FALSE,backpacker
12, 2013-04-04 08:32:15,765,18,female,1,4/4/2013,4/5/2013,9400,TRUE,FALSE,backpacker
13, 2013-04-04 08:32:15,298,18,female,1,4/4/2013,4/5/2013,5800,TRUE,TRUE,backpacker
14, 2013-04-04 08:32:15,45,18,female,1,4/4/2013,4/5/2013,11300,TRUE,FALSE,backpacker
15, 2013-04-04 08:32:15,173,18,female,1,4/4/2013,4/5/2013,7800,FALSE,FALSE,backpacker
16, 2013-04-04 08:32:15,517,18,female,1,4/4/2013,4/5/2013,10200,TRUE,FALSE,backpacker
17, 2013-04-04 08:32:15,462,18,female,1,4/4/2013,4/5/2013,9200,TRUE,FALSE,backpacker
18, 2013-04-04 08:32:15,232,18,female,1,4/4/2013,4/5/2013,9800,TRUE,FALSE,backpacker
19, 2013-04-04 08:32:15,242,18,female,1,4/4/2013,4/5/2013,8600,TRUE,FALSE,backpacker
20, 2013-04-04 08:32:15,325,18,female,1,4/4/2013,4/5/2013,8500,FALSE,FALSE,backpacker
21, 2013-04-04 08:32:15,661,18,female,1,4/4/2013,4/5/2013,10900,TRUE,FALSE,backpacker
22, 2013-04-04 08:32:15,14,18,female,1,4/4/2013,4/5/2013,6300,TRUE,FALSE,backpacker
23, 2012-12-31 08:59:22,411,25,female,1,2/15/2013,2/17/2013,20100,TRUE,FALSE,backpacker
24, 2012-12-31 08:59:22,35,25,female,1,2/15/2013,2/17/2013,26500,FALSE,FALSE,backpacker
25, 2012-12-31 08:59:22,144,25,female,1,2/15/2013,2/17/2013,24000,TRUE,FALSE,backpacker
26, 2012-12-31 08:59:22,212,25,female,1,2/15/2013,2/17/2013,24100,TRUE,FALSE,backpacker
27, 2012-12-31 08:59:22,962,25,female,1,2/15/2013,2/17/2013,21700,TRUE,FALSE,backpacker
28, 2012-12-31 08:59:22,678,25,female,1,2/15/2013,2/17/2013,17400,TRUE,FALSE,backpacker
29, 2012-12-31 08:59:22,523,25,female,1,2/15/2013,2/17/2013,25700,FALSE,TRUE,backpacker
30, 2012-12-31 08:59:22,742,25,female,1,2/15/2013,2/17/2013,22700,TRUE,FALSE,backpacker
31, 2013-02-26 19:42:22,32,23,male,1,7/20/2013,7/26/2013,46400,TRUE,FALSE,backpacker
32, 2013-02-26 19:42:22,95,23,male,1,7/20/2013,7/26/2013,34700,TRUE,FALSE,backpacker
33, 2013-02-26 19:42:22,919,23,male,1,7/20/2013,7/26/2013,29800,FALSE,FALSE,backpacker
34, 2013-02-26 19:42:22,667,23,male,1,7/20/2013,7/26/2013,25300,FALSE,FALSE,backpacker
35, 2013-02-26 19:42:22,520,23,male,1,7/20/2013,7/26/2013,55500,FALSE,FALSE,backpacker
36, 2013-02-26 19:42:22,829,23,male,1,7/20/2013,7/26/2013,26600,TRUE,FALSE,backpacker
37, 2013-02-26 19:42:22,956,23,male,1,7/20/2013,7/26/2013,54300,FALSE,FALSE,backpacker
38, 2013-02-11 01:28:38,311,45,male,1,2/24/2013,3/5/2013,11000,FALSE,FALSE,couple
39, 2013-02-11 01:28:38,519,45,male,1,2/24/2013,3/5/2013,9100,FALSE,FALSE,couple
40, 2013-02-11 01:28:38,293,45,male,1,2/24/2013,3/5/2013,19100,TRUE,FALSE,couple
41, 2013-02-11 01:28:38,145,45,male,1,2/24/2013,3/5/2013,17200,TRUE,TRUE,couple
42, 2013-02-11 01:28:38,461,45,male,1,2/24/2013,3/5/2013,20500,FALSE,FALSE,couple
43, 2013-02-11 01:28:38,836,45,male,1,2/24/2013,3/5/2013,18100,TRUE,FALSE,couple
44, 2013-02-11 01:28:38,664,45,male,1,2/24/2013,3/5/2013,20000,TRUE,FALSE,couple
45, 2013-02-11 01:28:38,193,45,male,1,2/24/2013,3/5/2013,14200,TRUE,FALSE,couple
46, 2013-02-11 01:28:38,42,45,male,1,2/24/2013,3/5/2013,17400,FALSE,FALSE,couple
47, 2013-02-11 01:28:38,548,45,male,1,2/24/2013,3/5/2013,9500,TRUE,FALSE,couple
48, 2013-02-11 01:28:38,914,45,male,1,2/24/2013,3/5/2013,12900,FALSE,FALSE,couple
49, 2013-02-11 01:28:38,583,45,male,1,2/24/2013,3/5/2013,10300,TRUE,FALSE,couple
50, 2013-02-11 01:28:38,399,45,male,1,2/24/2013,3/5/2013,12700,FALSE,FALSE,couple
51, 2013-02-11 01:28:38,684,45,male,1,2/24/2013,3/5/2013,20300,TRUE,FALSE,couple
52, 2013-02-11 01:28:38,168,45,male,1,2/24/2013,3/5/2013,9600,TRUE,FALSE,couple
53, 2013-02-11 01:28:38,123,45,male,1,2/24/2013,3/5/2013,10500,TRUE,FALSE,couple
54, 2013-02-11 01:28:38,646,45,male,1,2/24/2013,3/5/2013,10800,TRUE,FALSE,couple
55, 2013-02-11 01:28:38,556,45,male,1,2/24/2013,3/5/2013,13600,TRUE,FALSE,couple
56, 2013-02-11 01:28:38,48,45,male,1,2/24/2013,3/5/2013,12400,FALSE,FALSE,couple
57, 2013-01-09 16:45:45,241,18,female,1,1/20/2013,1/21/2013,3500,FALSE,FALSE,couple
58, 2013-01-09 16:45:45,332,18,female,1,1/20/2013,1/21/2013,9800,FALSE,FALSE,couple
59, 2013-01-09 16:45:45,107,18,female,1,1/20/2013,1/21/2013,10800,FALSE,FALSE,couple
60, 2013-01-09 16:45:45,21,18,female,1,1/20/2013,1/21/2013,11100,FALSE,FALSE,couple
61, 2013-01-09 16:45:45,999,18,female,1,1/20/2013,1/21/2013,2900,TRUE,FALSE,couple
62, 2013-01-09 16:45:45,118,18,female,1,1/20/2013,1/21/2013,12400,FALSE,FALSE,couple
63, 2013-01-09 16:45:45,230,18,female,1,1/20/2013,1/21/2013,13900,TRUE,FALSE,couple
64, 2013-01-09 16:45:45,468,18,female,1,1/20/2013,1/21/2013,6700,FALSE,FALSE,couple
65, 2013-01-09 16:45:45,443,18,female,1,1/20/2013,1/21/2013,11900,TRUE,FALSE,couple
66, 2013-01-09 16:45:45,214,18,female,1,1/20/2013,1/21/2013,9500,TRUE,FALSE,couple
67, 2013-01-09 16:45:45,965,18,female,1,1/20/2013,1/21/2013,11800,TRUE,FALSE,couple
68, 2013-01-09 16:45:45,917,18,female,1,1/20/2013,1/21/2013,9700,TRUE,FALSE,couple
69, 2013-01-09 16:45:45,627,18,female,1,1/20/2013,1/21/2013,7900,FALSE,FALSE,couple
70, 2013-01-09 16:45:45,275,18,female,1,1/20/2013,1/21/2013,2900,FALSE,TRUE,couple
71, 2013-01-09 16:45:45,329,18,female,1,1/20/2013,1/21/2013,5300,TRUE,FALSE,couple
72, 2013-01-09 16:45:45,512,18,female,1,1/20/2013,1/21/2013,3100,TRUE,FALSE,couple
73, 2013-01-09 16:45:45,394,18,female,1,1/20/2013,1/21/2013,4500,TRUE,FALSE,couple
74, 2013-01-09 16:45:45,984,18,female,1,1/20/2013,1/21/2013,4000,TRUE,FALSE,couple
75, 2013-01-09 16:45:45,283,18,female,1,1/20/2013,1/21/2013,4300,FALSE,FALSE,couple
76, 2013-01-09 16:45:45,518,18,female,1,1/20/2013,1/21/2013,8700,FALSE,FALSE,couple
77, 2013-01-09 16:45:45,91,18,female,1,1/20/2013,1/21/2013,6600,FALSE,FALSE,couple
78, 2013-01-09 16:45:45,810,18,female,1,1/20/2013,1/21/2013,2000,TRUE,FALSE,couple
79, 2013-01-09 16:45:45,15,18,female,1,1/20/2013,1/21/2013,6600,FALSE,FALSE,couple
80, 2013-01-09 16:45:45,389,18,female,1,1/20/2013,1/21/2013,14100,FALSE,FALSE,couple
81, 2013-01-09 16:45:45,465,18,female,1,1/20/2013,1/21/2013,6200,FALSE,FALSE,couple
82, 2013-02-13 07:00:24,420,35,female,1,3/1/2013,3/3/2013,10800,TRUE,FALSE,couple
83, 2013-02-13 07:00:24,146,35,female,1,3/1/2013,3/3/2013,13900,TRUE,FALSE,couple
84, 2013-02-13 07:00:24,750,35,female,1,3/1/2013,3/3/2013,12900,TRUE,FALSE,couple
85, 2013-02-13 07:00:24,78,35,female,1,3/1/2013,3/3/2013,13600,TRUE,FALSE,couple
86, 2013-02-13 07:00:24,975,35,female,1,3/1/2013,3/3/2013,12900,FALSE,FALSE,couple
87, 2013-04-14 18:36:46,299,19,female,1,7/6/2013,7/9/2013,7800,TRUE,FALSE,family
88, 2013-04-14 18:36:46,716,19,female,1,7/6/2013,7/9/2013,8900,TRUE,FALSE,family
89, 2013-04-14 18:36:46,418,19,female,1,7/6/2013,7/9/2013,8500,TRUE,FALSE,family
90, 2013-04-14 18:36:46,125,19,female,1,7/6/2013,7/9/2013,14500,TRUE,FALSE,family
91, 2013-04-14 18:36:46,820,19,female,1,7/6/2013,7/9/2013,12600,FALSE,FALSE,family
92, 2013-05-23 11:56:25,729,27,male,1,6/17/2013,6/21/2013,8300,TRUE,FALSE,backpacker
93, 2013-05-23 11:56:25,799,27,male,1,6/17/2013,6/21/2013,6300,FALSE,FALSE,backpacker
94, 2013-05-23 11:56:25,292,27,male,1,6/17/2013,6/21/2013,6900,FALSE,FALSE,backpacker
95, 2013-05-23 11:56:25,460,27,male,1,6/17/2013,6/21/2013,12600,FALSE,FALSE,backpacker
96, 2013-05-23 11:56:25,391,27,male,1,6/17/2013,6/21/2013,9400,TRUE,FALSE,backpacker
97, 2013-05-23 11:56:25,46,27,male,1,6/17/2013,6/21/2013,13200,TRUE,FALSE,backpacker
98, 2013-05-23 11:56:25,713,27,male,1,6/17/2013,6/21/2013,11000,FALSE,FALSE,backpacker
99, 2013-05-23 11:56:25,467,27,male,1,6/17/2013,6/21/2013,10600,TRUE,FALSE,backpacker
100, 2013-05-23 11:56:25,618,27,male,1,6/17/2013,6/21/2013,9900,TRUE,FALSE,backpacker
101, 2013-05-23 11:56:25,539,27,male,1,6/17/2013,6/21/2013,5700,TRUE,FALSE,backpacker
102, 2013-05-23 11:56:25,912,27,male,1,6/17/2013,6/21/2013,5700,FALSE,FALSE,backpacker
103, 2013-05-23 11:56:25,852,27,male,1,6/17/2013,6/21/2013,6700,TRUE,FALSE,backpacker
104, 2013-05-23 11:56:25,731,27,male,1,6/17/2013,6/21/2013,9300,TRUE,FALSE,backpacker
105, 2013-04-18 13:33:53,562,68,female,1,6/4/2013,6/8/2013,28000,TRUE,FALSE,family
106, 2013-04-18 13:33:53,149,68,female,1,6/4/2013,6/8/2013,33300,FALSE,FALSE,family
107, 2013-04-18 13:33:53,95,68,female,1,6/4/2013,6/8/2013,28300,FALSE,FALSE,family
108, 2013-04-18 13:33:53,287,68,female,1,6/4/2013,6/8/2013,35700,FALSE,FALSE,family
109, 2013-04-18 13:33:53,895,68,female,1,6/4/2013,6/8/2013,24800,FALSE,FALSE,family
110, 2013-04-18 13:33:53,842,68,female,1,6/4/2013,6/8/2013,33700,FALSE,FALSE,family
111, 2013-04-18 13:33:53,588,68,female,1,6/4/2013,6/8/2013,21300,TRUE,FALSE,family
112, 2013-04-18 13:33:53,456,68,female,1,6/4/2013,6/8/2013,27500,FALSE,FALSE,family
113, 2013-04-18 13:33:53,419,68,female,1,6/4/2013,6/8/2013,72400,FALSE,FALSE,family
114, 2013-04-18 13:33:53,870,68,female,1,6/4/2013,6/8/2013,23100,TRUE,FALSE,family
115, 2013-04-18 13:33:53,174,68,female,1,6/4/2013,6/8/2013,34500,TRUE,FALSE,family
116, 2013-04-18 13:33:53,797,68,female,1,6/4/2013,6/8/2013,31500,TRUE,FALSE,family
117, 2013-04-18 13:33:53,755,68,female,1,6/4/2013,6/8/2013,37100,FALSE,FALSE,family
118, 2013-04-18 13:33:53,297,68,female,1,6/4/2013,6/8/2013,24000,TRUE,FALSE,family
